paywall_event_id,article_id,reader_id,event_at,event_type,offer_name,conversion_status,revenue_pence
7001,1003,2001,2026-06-03 08:05:00,paywall_view,Digital Plus,viewed,0
7002,1003,2005,2026-06-03 08:25:00,paywall_view,Digital,trial_started,0
7003,1005,2006,2026-06-05 09:10:00,paywall_view,Premium,converted,1999
7004,1005,2008,2026-06-05 09:35:00,paywall_view,Premium,converted,1999
7005,1003,2002,2026-06-03 10:15:00,paywall_view,Digital,dismissed,0
7006,1005,2003,2026-06-05 11:45:00,paywall_view,Digital Plus,viewed,0
7007,1001,2004,2026-06-01 12:10:00,meter_limit,Digital,dismissed,0
7008,1006,2007,2026-06-06 13:25:00,meter_limit,Digital,trial_started,0
70000001,100583,200933,2026-06-02 09:17:00,meter_limit,Digital Plus,dismissed,0
70000002,100474,200698,2026-06-03 10:34:00,paywall_view,Intro Offer,trial_started,0
70000003,100228,200075,2026-06-04 11:51:00,meter_limit,Annual Saver,converted,1299
70000004,100949,200443,2026-06-05 12:08:00,paywall_view,Digital,viewed,0
70000005,100955,200565,2026-06-06 13:25:00,meter_limit,Digital Plus,dismissed,0
70000006,100886,200793,2026-06-07 14:42:00,paywall_view,Intro Offer,trial_started,0
70000007,100859,200560,2026-06-08 15:59:00,meter_limit,Annual Saver,converted,1299
70000008,100349,200776,2026-06-09 16:16:00,paywall_view,Digital,viewed,0
70000009,100721,200053,2026-06-10 17:33:00,meter_limit,Digital Plus,dismissed,0
70000010,100101,200136,2026-06-11 18:50:00,paywall_view,Intro Offer,trial_started,0
70000011,100573,200585,2026-06-12 19:07:00,meter_limit,Annual Saver,converted,899
70000012,100382,200168,2026-06-13 20:24:00,paywall_view,Digital,viewed,0
70000013,100981,200250,2026-06-14 21:41:00,meter_limit,Digital Plus,dismissed,0
70000014,100433,200711,2026-06-15 08:58:00,paywall_view,Intro Offer,trial_started,0
70000015,100788,200477,2026-06-16 09:15:00,meter_limit,Annual Saver,converted,1299
70000016,100272,200897,2026-06-17 10:32:00,paywall_view,Digital,viewed,0
70000017,100601,200652,2026-06-18 11:49:00,meter_limit,Digital Plus,dismissed,0
70000018,100397,200259,2026-06-19 12:06:00,paywall_view,Intro Offer,trial_started,0
70000019,100249,200613,2026-06-20 13:23:00,meter_limit,Annual Saver,converted,1299
70000020,100849,200308,2026-06-21 14:40:00,paywall_view,Digital,viewed,0
70000021,100365,200005,2026-06-22 15:57:00,meter_limit,Digital Plus,dismissed,0
70000022,100648,200445,2026-06-23 16:14:00,paywall_view,Intro Offer,trial_started,0
70000023,100667,200079,2026-06-24 17:31:00,meter_limit,Annual Saver,converted,2499
70000024,100893,200856,2026-06-25 18:48:00,paywall_view,Digital,viewed,0
70000025,100464,200172,2026-06-26 19:05:00,meter_limit,Digital Plus,dismissed,0
70000026,100152,200746,2026-06-27 20:22:00,paywall_view,Intro Offer,trial_started,0
70000027,100088,200564,2026-06-28 21:39:00,meter_limit,Annual Saver,converted,1299
70000028,100459,200102,2026-06-29 08:56:00,paywall_view,Digital,viewed,0
70000029,100325,200575,2026-06-30 09:13:00,meter_limit,Digital Plus,dismissed,0
70000030,100382,200290,2026-07-01 10:30:00,paywall_view,Intro Offer,trial_started,0
70000031,100138,200221,2026-07-02 11:47:00,meter_limit,Annual Saver,converted,1299
70000032,1004,200095,2026-07-03 12:04:00,paywall_view,Digital,viewed,0
70000033,100733,200096,2026-07-04 13:21:00,meter_limit,Digital Plus,dismissed,0
70000034,100334,200526,2026-07-05 14:38:00,paywall_view,Intro Offer,trial_started,0
70000035,100352,200208,2026-07-06 15:55:00,meter_limit,Annual Saver,converted,2499
70000036,100427,200783,2026-07-07 16:12:00,paywall_view,Digital,viewed,0
70000037,100663,200066,2026-07-08 17:29:00,meter_limit,Digital Plus,dismissed,0
70000038,100670,200334,2026-07-09 18:46:00,paywall_view,Intro Offer,trial_started,0
70000039,100814,200448,2026-07-10 19:03:00,meter_limit,Annual Saver,converted,2499
70000040,100422,200934,2026-07-11 20:20:00,paywall_view,Digital,viewed,0
70000041,100577,200635,2026-07-12 21:37:00,meter_limit,Digital Plus,dismissed,0
70000042,100843,200875,2026-07-13 08:54:00,paywall_view,Intro Offer,trial_started,0
70000043,100574,200668,2026-07-14 09:11:00,meter_limit,Annual Saver,converted,1299
70000044,100865,200886,2026-07-15 10:28:00,paywall_view,Digital,viewed,0
70000045,100208,200492,2026-07-16 11:45:00,meter_limit,Digital Plus,dismissed,0
70000046,100498,200930,2026-07-17 12:02:00,paywall_view,Intro Offer,trial_started,0
70000047,100893,200756,2026-07-18 13:19:00,meter_limit,Annual Saver,converted,1299
70000048,100362,200181,2026-07-19 14:36:00,paywall_view,Digital,viewed,0
